# general color correspondance for zone budget plotting in matplotlib.pyplot using a dictionary,,
flux,color,name
FROM_RECHARGE,green,Recharge
TO_RECHARGE,green,Surface leakage
FROM_STREAM_LEAKAGE,blue,From Stream Leakage
TO_STREAM_LEAKAGE,blue,To Stream Leakage
FROM_WELLS,red,Pumping
TO_WELLS,red,Injection wells
FROM_LAKE_SEEPAGE,navy,From Lake Seepage
TO_LAKE_SEEPAGE,navy,To Lake Seepage
FROM_CONSTANT_HEAD,lightgreen,From Foothills
TO_CONSTANT_HEAD,lightgreen,To Foothills
FROM_HEAD_DEP_BOUNDS,aqua,From Head Dep Bounds
TO_HEAD_DEP_BOUNDS,aqua,To Head Dep Bounds
FROM_ZONE_0,gray,From groundwater 
TO_ZONE_0,gray,To groundwater
FROM_RIVER_LEAKAGE,navy,From Lake Seepage
TO_RIVER_LEAKAGE,navy,To Lake Seepage
