crop_cat,year,rev_prior_yr
Alfalfa_and_alfalfa_mixtures,2018,1153
Alfalfa_and_alfalfa_mixtures,2019,1237
Alfalfa_and_alfalfa_mixtures,2020,939
Alfalfa_and_alfalfa_mixtures,2021,1110
Corn__sorghum_or_Sudan,2018,818
Corn__sorghum_or_Sudan,2019,734
Corn__sorghum_or_Sudan,2020,848
Corn__sorghum_or_Sudan,2021,705
Miscellaneous_grain_and_hay,2018,312
Miscellaneous_grain_and_hay,2019,455
Miscellaneous_grain_and_hay,2020,390
Miscellaneous_grain_and_hay,2021,529
Mixed_pasture,2018,300
Mixed_pasture,2019,287
Mixed_pasture,2020,252
Mixed_pasture,2021,267
Other,2018,1494
Other,2019,1488
Other,2020,1187
Other,2021,1290
Unclassified_fallow,2018,0
Unclassified_fallow,2019,0
Unclassified_fallow,2020,0
Unclassified_fallow,2021,0
Vineyards,2018,4899
Vineyards,2019,5103
Vineyards,2020,4774
Vineyards,2021,4114
