parcel_id,Crop_Choice
3400001,Unclassified_fallow
3400002,Unclassified_fallow
3400003,Unclassified_fallow
3400005,Vineyards
3400008,Unclassified_fallow
3400017,Unclassified_fallow
3400019,Vineyards
3400022,Unclassified_fallow
3400023,Miscellaneous_grain_and_hay
3400024,Vineyards
3400027,Unclassified_fallow
3400028,Vineyards
3400030,Miscellaneous_grain_and_hay
3400031,Unclassified_fallow
3400032,Other
3400033,Unclassified_fallow
3400035,Vineyards
3400037,Vineyards
3400039,Unclassified_fallow
3400043,Vineyards
3400045,Vineyards
3400046,Unclassified_fallow
3400049,Unclassified_fallow
3400050,Unclassified_fallow
3400051,Vineyards
3400053,Unclassified_fallow
3400055,Unclassified_fallow
3400062,Vineyards
3400063,Unclassified_fallow
3400065,Unclassified_fallow
3400067,Unclassified_fallow
3400069,Unclassified_fallow
3400077,Vineyards
3400078,Vineyards
3400080,Unclassified_fallow
3400081,Unclassified_fallow
3400082,Vineyards
3400086,Other
3400091,Vineyards
3400093,Unclassified_fallow
3400096,Unclassified_fallow
3400099,Unclassified_fallow
3400100,Unclassified_fallow
3400101,Vineyards
3400104,Vineyards
3400105,Unclassified_fallow
3400107,Vineyards
3400108,Vineyards
3400110,Vineyards
3400112,Vineyards
3400113,Unclassified_fallow
3400114,Vineyards
3400116,Vineyards
3400117,Unclassified_fallow
3400118,Unclassified_fallow
3400119,Unclassified_fallow
3400123,Unclassified_fallow
3400124,Miscellaneous_grain_and_hay
3400128,Unclassified_fallow
3400129,Unclassified_fallow
3400130,Unclassified_fallow
3400132,Vineyards
3400134,Unclassified_fallow
3400138,Unclassified_fallow
3400140,Unclassified_fallow
3400141,Vineyards
3400142,Unclassified_fallow
3400143,Vineyards
3400144,Unclassified_fallow
3400146,Vineyards
3400150,Vineyards
3400151,Unclassified_fallow
3400154,Miscellaneous_grain_and_hay
3400155,Unclassified_fallow
3400156,Unclassified_fallow
3400158,Vineyards
3400161,Unclassified_fallow
3400162,Vineyards
3400166,Vineyards
3400167,Unclassified_fallow
3400168,Unclassified_fallow
3400170,Unclassified_fallow
3400171,Unclassified_fallow
3400172,Vineyards
3400176,Unclassified_fallow
3400177,Unclassified_fallow
3400178,Other
3400179,Unclassified_fallow
3400181,Other
3400184,Miscellaneous_grain_and_hay
3400186,Unclassified_fallow
3400187,Other
3400188,Vineyards
3400190,Unclassified_fallow
3400193,Vineyards
3400194,Alfalfa_and_alfalfa_mixtures
3400197,Unclassified_fallow
3400198,Unclassified_fallow
3400204,Unclassified_fallow
3400206,Unclassified_fallow
3400207,Unclassified_fallow
3400209,Other
3400212,Other
3400213,Unclassified_fallow
3400214,Unclassified_fallow
3400215,Unclassified_fallow
3400216,Vineyards
3400217,Miscellaneous_grain_and_hay
3400218,Unclassified_fallow
3400221,Unclassified_fallow
3400223,Unclassified_fallow
3400224,Unclassified_fallow
3400225,Unclassified_fallow
3400227,Vineyards
3400228,Unclassified_fallow
3400230,Vineyards
3400233,Unclassified_fallow
3400234,Vineyards
3400236,Miscellaneous_grain_and_hay
3400239,Vineyards
3400242,Vineyards
3400243,Vineyards
3400245,Vineyards
3400248,Unclassified_fallow
3400250,Other
3400252,Unclassified_fallow
3400253,Unclassified_fallow
3400254,Unclassified_fallow
3400256,Vineyards
3400257,Unclassified_fallow
3400258,Vineyards
3400259,Unclassified_fallow
3400264,Unclassified_fallow
3400265,Vineyards
3400266,Unclassified_fallow
3400269,Unclassified_fallow
3400270,Unclassified_fallow
3400272,Vineyards
3400273,Vineyards
3400275,Unclassified_fallow
3400277,Vineyards
3400278,Unclassified_fallow
3400279,Unclassified_fallow
3400281,Vineyards
3400282,Miscellaneous_grain_and_hay
3400286,Vineyards
3400287,Miscellaneous_grain_and_hay
3400290,Unclassified_fallow
3400291,Unclassified_fallow
3400292,Unclassified_fallow
3400293,Vineyards
3400296,Vineyards
3400298,Unclassified_fallow
3400300,Miscellaneous_grain_and_hay
3400301,Miscellaneous_grain_and_hay
3400302,Unclassified_fallow
3400303,Vineyards
3400308,Vineyards
3400311,Unclassified_fallow
3400312,Unclassified_fallow
3400316,Vineyards
3400317,Vineyards
3400321,Unclassified_fallow
3400324,Unclassified_fallow
3400325,Unclassified_fallow
3400327,Unclassified_fallow
3400331,Vineyards
3400332,Unclassified_fallow
3400333,Unclassified_fallow
3400338,Other
3400344,Vineyards
3400346,Vineyards
3400347,Other
3400348,Miscellaneous_grain_and_hay
3400349,Vineyards
3400350,Vineyards
3400352,Unclassified_fallow
3400354,Vineyards
3400355,Unclassified_fallow
3400358,Unclassified_fallow
3400359,Unclassified_fallow
3400360,Unclassified_fallow
3400361,Other
3400364,Unclassified_fallow
3400366,Unclassified_fallow
3400368,Unclassified_fallow
3400371,Vineyards
3400376,Other
3400378,Unclassified_fallow
3400379,Unclassified_fallow
3400382,Miscellaneous_grain_and_hay
3400383,Other
3400385,Unclassified_fallow
3400386,Other
3400387,Unclassified_fallow
3400390,Vineyards
3400392,Unclassified_fallow
3400393,Miscellaneous_grain_and_hay
3400395,Unclassified_fallow
3400396,Vineyards
3400397,Unclassified_fallow
3400398,Unclassified_fallow
3400399,Unclassified_fallow
3400400,Unclassified_fallow
3400404,Vineyards
3400405,Vineyards
3400408,Unclassified_fallow
3400409,Unclassified_fallow
3400411,Unclassified_fallow
3400412,Unclassified_fallow
3400421,Unclassified_fallow
3400423,Vineyards
3400424,Unclassified_fallow
3400425,Other
3400427,Miscellaneous_grain_and_hay
3400429,Unclassified_fallow
3400431,Unclassified_fallow
3400436,Unclassified_fallow
3400437,Unclassified_fallow
3400438,Miscellaneous_grain_and_hay
3400441,Other
3400442,Other
3400444,Miscellaneous_grain_and_hay
3400448,Vineyards
3400449,Vineyards
3400450,Unclassified_fallow
3400454,Vineyards
3400455,Miscellaneous_grain_and_hay
3400456,Other
3400457,Vineyards
3400461,Unclassified_fallow
3400463,Unclassified_fallow
3400464,Vineyards
3400466,Unclassified_fallow
3400468,Other
3400469,Unclassified_fallow
3400470,Vineyards
3400471,Unclassified_fallow
3400473,Unclassified_fallow
3400479,Unclassified_fallow
3400480,Miscellaneous_grain_and_hay
3400481,Other
3400483,Unclassified_fallow
3400484,Other
