parcel_id,Crop_Choice
3400001,Unclassified fallow
3400002,Unclassified fallow
3400003,Unclassified fallow
3400005,Vineyards
3400008,Unclassified fallow
3400017,Unclassified fallow
3400019,Unclassified fallow
3400022,Unclassified fallow
3400023,Unclassified fallow
3400024,Unclassified fallow
3400027,Unclassified fallow
3400028,Unclassified fallow
3400030,Unclassified fallow
3400031,Unclassified fallow
3400032,Unclassified fallow
3400033,Unclassified fallow
3400035,Unclassified fallow
3400037,Unclassified fallow
3400039,Unclassified fallow
3400043,Unclassified fallow
3400045,"Corn, sorghum or Sudan"
3400046,Unclassified fallow
3400049,Unclassified fallow
3400050,Unclassified fallow
3400051,Unclassified fallow
3400053,Unclassified fallow
3400055,Unclassified fallow
3400062,"Corn, sorghum or Sudan"
3400063,Unclassified fallow
3400065,Unclassified fallow
3400067,Unclassified fallow
3400069,Unclassified fallow
3400077,Vineyards
3400078,Unclassified fallow
3400080,Unclassified fallow
3400081,Unclassified fallow
3400082,Vineyards
3400086,Unclassified fallow
3400091,Vineyards
3400093,Unclassified fallow
3400096,Unclassified fallow
3400099,Unclassified fallow
3400100,Unclassified fallow
3400101,"Corn, sorghum or Sudan"
3400104,Unclassified fallow
3400105,Unclassified fallow
3400107,Vineyards
3400108,Vineyards
3400110,Unclassified fallow
3400112,Vineyards
3400113,Unclassified fallow
3400114,Vineyards
3400116,Vineyards
3400117,Unclassified fallow
3400118,Unclassified fallow
3400119,Unclassified fallow
3400123,Unclassified fallow
3400124,Unclassified fallow
3400128,Unclassified fallow
3400129,Unclassified fallow
3400130,Unclassified fallow
3400132,Unclassified fallow
3400134,Unclassified fallow
3400138,Unclassified fallow
3400140,Unclassified fallow
3400141,Unclassified fallow
3400142,Unclassified fallow
3400143,Vineyards
3400144,Unclassified fallow
3400146,Vineyards
3400150,Unclassified fallow
3400151,Unclassified fallow
3400154,Unclassified fallow
3400155,Unclassified fallow
3400156,Unclassified fallow
3400158,Unclassified fallow
3400161,Unclassified fallow
3400162,Unclassified fallow
3400166,"Corn, sorghum or Sudan"
3400167,Unclassified fallow
3400168,Unclassified fallow
3400170,Unclassified fallow
3400171,Unclassified fallow
3400172,Unclassified fallow
3400176,Unclassified fallow
3400177,Unclassified fallow
3400178,Unclassified fallow
3400179,Unclassified fallow
3400181,Unclassified fallow
3400184,Unclassified fallow
3400186,Unclassified fallow
3400187,Unclassified fallow
3400188,Unclassified fallow
3400190,Unclassified fallow
3400193,"Corn, sorghum or Sudan"
3400194,Unclassified fallow
3400197,Unclassified fallow
3400198,Unclassified fallow
3400204,Unclassified fallow
3400206,Unclassified fallow
3400207,Unclassified fallow
3400209,Unclassified fallow
3400212,Unclassified fallow
3400213,Unclassified fallow
3400214,Unclassified fallow
3400215,Unclassified fallow
3400216,Unclassified fallow
3400217,Unclassified fallow
3400218,Unclassified fallow
3400221,Unclassified fallow
3400223,Unclassified fallow
3400224,Unclassified fallow
3400225,Unclassified fallow
3400227,Unclassified fallow
3400228,Unclassified fallow
3400230,Unclassified fallow
3400233,Unclassified fallow
3400234,Vineyards
3400236,Unclassified fallow
3400239,Unclassified fallow
3400242,Vineyards
3400243,"Corn, sorghum or Sudan"
3400245,Unclassified fallow
3400248,Unclassified fallow
3400250,Unclassified fallow
3400252,Unclassified fallow
3400253,Unclassified fallow
3400254,Unclassified fallow
3400256,Vineyards
3400257,Unclassified fallow
3400258,Unclassified fallow
3400259,Unclassified fallow
3400264,Unclassified fallow
3400265,Vineyards
3400266,Unclassified fallow
3400269,Unclassified fallow
3400270,Unclassified fallow
3400272,Unclassified fallow
3400273,Unclassified fallow
3400275,Unclassified fallow
3400277,Vineyards
3400278,Unclassified fallow
3400279,Unclassified fallow
3400281,Vineyards
3400282,Unclassified fallow
3400286,Vineyards
3400287,Unclassified fallow
3400290,Unclassified fallow
3400291,Unclassified fallow
3400292,Unclassified fallow
3400293,Vineyards
3400296,Unclassified fallow
3400298,Unclassified fallow
3400300,Unclassified fallow
3400301,Unclassified fallow
3400302,Unclassified fallow
3400303,"Corn, sorghum or Sudan"
3400308,Vineyards
3400311,Unclassified fallow
3400312,Unclassified fallow
3400316,Unclassified fallow
3400317,Vineyards
3400321,Unclassified fallow
3400324,Unclassified fallow
3400325,Unclassified fallow
3400327,Unclassified fallow
3400331,Unclassified fallow
3400332,Unclassified fallow
3400333,Unclassified fallow
3400338,Unclassified fallow
3400344,Vineyards
3400346,Vineyards
3400347,Unclassified fallow
3400348,Unclassified fallow
3400349,Unclassified fallow
3400350,Vineyards
3400352,Unclassified fallow
3400354,Unclassified fallow
3400355,Unclassified fallow
3400358,Unclassified fallow
3400359,Unclassified fallow
3400360,Unclassified fallow
3400361,Unclassified fallow
3400364,Unclassified fallow
3400366,Unclassified fallow
3400368,Unclassified fallow
3400371,Unclassified fallow
3400376,Unclassified fallow
3400378,Unclassified fallow
3400379,Unclassified fallow
3400382,Unclassified fallow
3400383,Unclassified fallow
3400385,Unclassified fallow
3400386,Unclassified fallow
3400387,Unclassified fallow
3400390,Unclassified fallow
3400392,Unclassified fallow
3400393,Unclassified fallow
3400395,Unclassified fallow
3400396,Vineyards
3400397,Unclassified fallow
3400398,Unclassified fallow
3400399,Unclassified fallow
3400400,Unclassified fallow
3400404,Unclassified fallow
3400405,Unclassified fallow
3400408,Unclassified fallow
3400409,Unclassified fallow
3400411,Unclassified fallow
3400412,Unclassified fallow
3400421,Unclassified fallow
3400423,Unclassified fallow
3400424,Unclassified fallow
3400425,Unclassified fallow
3400427,Unclassified fallow
3400429,Unclassified fallow
3400431,Unclassified fallow
3400436,Unclassified fallow
3400437,Unclassified fallow
3400438,Unclassified fallow
3400441,Unclassified fallow
3400442,Unclassified fallow
3400444,Unclassified fallow
3400448,Vineyards
3400449,Unclassified fallow
3400450,Unclassified fallow
3400454,Unclassified fallow
3400455,Unclassified fallow
3400456,Unclassified fallow
3400457,Unclassified fallow
3400461,Unclassified fallow
3400463,Unclassified fallow
3400464,Vineyards
3400466,Unclassified fallow
3400468,Unclassified fallow
3400469,Unclassified fallow
3400470,Vineyards
3400471,Unclassified fallow
3400473,Unclassified fallow
3400479,Unclassified fallow
3400480,Unclassified fallow
