dist_from_right_m,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0.0,,,,25.994823,17.433828,28.223585,26.982557,13.613771,14.830894,14.710082,21.682932,15.655969,14.396655,14.212127,11.47034,13.295234,12.606869,12.915443,13.109891,10.675349,12.059448,11.659281,11.778362,8.664071,10.135738,9.55821,8.171814,8.610021,8.177922,7.8539615,8.131956,7.8109775,6.9269876,7.201205,6.8955116,6.713525,6.3799553,5.9899635,4.832855,4.8734603,4.931696,3.9931238,3.529584,3.773491,3.3503616,2.5976987,3.378274,2.980648,2.6314824,1.7357103,1.6093439,2.554244,2.4292724,2.3742497,2.3184776,2.0818446,1.6230559,1.3514767,1.6529849,,,0.8402011
10.0,,,,25.88685,17.358046,28.247797,27.064447,13.689334,14.788519,14.722852,21.041784,15.590415,14.370447,14.148113,11.461885,13.163918,12.751444,12.900368,13.104247,10.675349,12.259628,11.58684,11.765736,8.664071,9.934558,9.582973,8.114096,8.610021,8.144152,7.8362355,8.131324,7.815126,6.9264307,7.201205,6.8962016,6.713525,6.346431,5.9814267,4.8475547,4.8598337,4.9316854,4.128318,3.529584,3.7759054,3.407184,2.5203638,3.3232176,2.9811838,2.6139581,1.7193255,1.6069767,2.5537891,2.4252431,2.3753269,2.30171,2.083229,1.6173029,1.3159306,1.2684437,,,0.8209034
20.0,,,,25.88685,17.32713,28.240013,27.12511,13.8099,14.82992,14.744096,19.6877,15.64102,14.288711,14.112679,11.449424,13.177452,12.793164,12.901824,13.147983,10.587487,12.259628,11.506559,11.756621,8.7320175,9.963188,9.590052,8.112331,8.579558,8.097011,7.859872,8.147187,7.8063817,6.8941336,7.201205,6.89639,6.713525,6.3461657,5.980598,4.810587,4.8729773,4.93291,4.130771,3.529584,3.7221498,3.3731496,2.554661,3.2445984,2.932039,2.6145532,1.6709329,1.6648036,2.5525644,2.431159,2.3741386,2.3089783,2.0657828,1.6543422,1.484563,1.0935568,,,0.78189707
30.0,,,,25.806435,17.6207,28.256641,27.198816,13.906653,14.977717,14.90114,19.194016,15.530194,14.057239,14.013513,11.459502,13.119375,12.869294,12.917039,13.174139,10.515775,12.144592,11.564826,11.738619,8.848435,9.954834,9.592347,8.113344,8.551644,8.063595,7.8530307,8.07875,7.7942977,6.8795476,7.201205,6.896458,6.713525,6.326339,5.9908977,4.7879353,4.8806005,4.9317226,4.130771,3.529584,3.7109098,3.3504944,2.6282823,3.2432292,2.9476817,2.6451106,1.6719006,2.0572278,2.520939,2.4558291,2.402242,2.274983,2.0530012,1.6492453,1.4409921,1.0727825,,,0.79400516
40.0,,,,25.93196,17.931225,28.256641,27.208385,13.883801,15.193238,14.790626,18.540836,15.4030285,13.563298,13.955581,11.454338,13.089857,12.959937,13.018985,13.16154,10.456848,11.823781,11.501007,11.672947,8.9004755,9.959459,9.575791,8.10908,8.495345,8.092744,7.822946,8.076022,7.779483,6.8779306,7.201205,6.8964,6.713525,6.3170075,6.033834,4.6964774,4.8565555,4.912723,4.1975155,3.529584,3.6786547,3.323304,2.7303295,3.2201357,2.95426,2.6448798,1.6541575,2.1014862,2.5439227,2.4818757,2.3751352,2.2736,2.0530648,1.6809589,1.3812106,1.0927622,,,0.8030617
50.0,,,,25.784798,17.769022,28.355589,27.208385,13.805563,15.207491,14.855565,18.16887,15.417712,13.502554,13.935502,11.434193,13.082319,13.07666,13.1368265,13.180245,10.439108,11.847678,11.4366255,11.663976,8.975169,9.7188835,9.597621,8.164996,8.43818,8.126813,7.8103075,8.002547,7.778165,6.8627357,7.201205,6.8962617,6.713525,6.304921,6.0252686,4.4845495,4.8239794,4.899253,4.2045302,3.529584,3.685461,3.3216205,2.8155787,3.1603463,2.9689863,2.705413,1.6541575,2.1744962,2.5538936,2.5006087,2.3815832,2.2908266,2.0490642,1.6802077,1.3735375,1.0818174,,,0.8155397
60.0,,,,25.591814,17.85695,28.203663,27.244675,13.805761,15.173767,14.888587,17.787943,15.16785,13.539664,14.053365,11.450995,13.044613,13.07666,13.1368265,13.071531,10.356708,11.509439,11.517131,11.625389,9.14489,9.707898,9.572024,8.216785,8.374431,8.177043,7.8103075,7.93057,7.81491,6.8668885,7.201205,6.895869,6.713525,6.2868047,6.047185,4.4981003,4.788846,4.9006886,4.2254033,3.529584,3.7099526,3.3324206,2.887381,3.1371436,2.9818327,2.7194347,1.6211408,2.2029252,2.4781864,2.539675,2.3935685,2.2439299,2.0273423,1.6675138,1.3690665,1.0618273,,,0.8149567
70.0,,,,25.3404,17.20159,28.299984,27.32593,13.806941,15.15778,14.888587,17.528318,14.958244,13.537908,14.080142,11.464464,13.044613,13.092036,13.252272,13.071531,10.205998,11.304973,11.214129,11.546321,9.358144,9.674023,9.572785,8.319605,8.374431,8.194004,7.809561,7.768191,7.8393445,6.864188,7.201205,6.9056635,6.713525,6.2868047,6.0437264,4.5224075,4.788846,4.901365,4.2254033,3.529584,3.7987149,3.3207238,2.967863,3.1371436,2.9784954,2.7371197,1.6152639,2.2029252,2.4483778,2.5383787,2.3701272,2.2687984,2.0189388,1.6496809,1.3737992,1.0273026,,,0.8237003
80.0,,,,25.296509,15.762297,28.302423,27.28586,13.816033,15.0356045,14.978678,17.22778,14.771359,13.543036,14.080142,11.490816,12.953726,13.101984,13.48259,12.932862,10.02334,11.319946,11.027204,11.489547,9.733506,9.533456,9.540682,8.380073,8.338744,8.258693,7.8101254,7.768191,7.8393445,6.8423233,7.201205,6.8977976,6.713525,6.2868047,6.042888,4.494159,4.6854825,4.901328,4.2499948,3.529584,3.7389543,3.3211923,2.9343128,3.091622,2.9863153,2.7662704,1.6093439,2.1830292,2.4007974,2.5187657,2.365231,2.2149148,2.0206988,1.6504207,1.3693005,1.0579044,,,0.8197757
90.0,,,,25.244207,14.912399,28.258451,27.415169,13.829677,15.009322,14.957987,17.059101,14.900683,13.55863,14.1859,11.474972,12.922172,13.046609,13.556028,12.958417,9.854861,11.150006,11.084841,11.453098,9.733506,9.524253,9.515546,8.430273,8.273211,8.440327,7.793815,7.722105,7.8343296,6.832663,7.201205,6.892323,6.713525,6.2868047,6.041704,4.564514,4.555334,4.901023,4.296885,3.529584,3.7751389,3.351521,2.9485736,3.0572977,3.0136123,2.7441943,1.6093439,2.115263,2.2726712,2.4899228,2.339959,2.2341788,2.019323,1.6532544,1.3717252,1.083486,,,0.8254956
