term,season,facies,statistic,pvalue,perc_diff_in_means
Stream Recharge,Wet,Gravel,1.7,0.0938,-
Stream Recharge,Wet,Sand,-4.727,0.0,-7.19
Stream Recharge,Wet,Sandy Mud,-3.912,0.0002,-3.28
Stream Recharge,Wet,Mud,-5.272,0.0,-8.27
Stream Recharge,Dry,Gravel,1.632,0.1072,-
Stream Recharge,Dry,Sand,-2.928,0.0046,-3.11
Stream Recharge,Dry,Sandy Mud,-3.597,0.0006,-3.0
Stream Recharge,Dry,Mud,-2.619,0.0108,-6.28
Stream Recharge,Fall,Gravel,0.676,0.5011,-
Stream Recharge,Fall,Sand,-3.221,0.0019,-0.88
Stream Recharge,Fall,Sandy Mud,-0.961,0.3399,-
Stream Recharge,Fall,Mud,-1.123,0.2651,-
