,freq,term,season,statistic,pvalue,perc_diff_in_means
0,annual,dSTORAGE,Wet,2.653,0.0453,11.52
0,annual,dSTORAGE,Dry,-3.565,0.0161,-12.65
0,annual,dSTORAGE,Fall,-4.141,0.009,-30.39
0,annual,ET_OUT,Wet,3.967,0.0107,6.64
0,annual,ET_OUT,Dry,2.405,0.0612,0.0
0,annual,ET_OUT,Fall,4.203,0.0085,3.2
0,annual,SFR_IN,Wet,-3.056,0.0282,-9.26
0,annual,SFR_IN,Dry,-2.63,0.0465,-5.05
0,annual,SFR_IN,Fall,-3.03,0.0291,-1.23
0,monthly,dSTORAGE,Wet,2.626,0.0108,11.52
0,monthly,dSTORAGE,Dry,-4.469,0.0,-12.65
0,monthly,dSTORAGE,Fall,-3.802,0.0003,-30.39
0,monthly,ET_OUT,Wet,4.028,0.0001,6.64
0,monthly,ET_OUT,Dry,3.016,0.0035,7.64
0,monthly,ET_OUT,Fall,3.468,0.0009,3.2
0,monthly,SFR_IN,Wet,-4.43,0.0,-9.26
0,monthly,SFR_IN,Dry,-3.312,0.0015,-5.05
0,monthly,SFR_IN,Fall,-2.815,0.0063,-1.23
