,freq,term,season,statistic,pvalue,perc_diff_in_means
0,annual,dSTORAGE,Wet,3.473,0.0178,17.87
0,annual,dSTORAGE,Dry,-5.783,0.0022,-33.01
0,annual,dSTORAGE,Fall,6.827,0.001,36.27
0,annual,ET_OUT,Wet,-0.082,0.9376,-
0,annual,ET_OUT,Dry,0.285,0.787,-
0,annual,ET_OUT,Fall,-4.076,0.0096,-10.39
0,annual,SFR_IN,Wet,-2.87,0.035,-4.59
0,annual,SFR_IN,Dry,-2.024,0.0988,-
0,annual,SFR_IN,Fall,2.081,0.092,-
0,monthly,dSTORAGE,Wet,4.31,0.0001,17.87
0,monthly,dSTORAGE,Dry,-4.301,0.0001,-33.01
0,monthly,dSTORAGE,Fall,4.051,0.0001,36.27
0,monthly,ET_OUT,Wet,-0.095,0.9248,-
0,monthly,ET_OUT,Dry,0.294,0.7698,-
0,monthly,ET_OUT,Fall,-3.905,0.0002,-10.39
0,monthly,SFR_IN,Wet,-3.704,0.0004,-4.59
0,monthly,SFR_IN,Dry,-2.351,0.0215,-2.52
0,monthly,SFR_IN,Fall,2.451,0.0167,0.46
