dist_from_right_m,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202
0.0,29.041725,28.698826,28.7274,28.755976,28.451176,28.1178,27.736801,26.603325,37.1856,38.61435,34.7472,30.76575,30.651451,29.8704,29.05125,27.22245,26.831924,26.793825,26.584276,29.365576,25.917526,26.431875,27.632025,28.36545,26.641426,26.34615,26.84145,27.231976,25.860374,26.91765,26.42235,26.07945,24.469725,26.127075,26.146126,26.584276,26.165174,25.993725,25.993725,25.73655,26.11755,24.507826,24.89835,24.641176,24.355425,24.32685,24.28875,24.2316,23.669626,23.441025,23.33625,23.26005,23.4696,23.5839,24.584024,24.336376,24.469725,24.09825,23.783926,23.241001,23.802975,23.0886,23.1648,22.86,23.612474,22.2504,22.65045,22.91715,22.879051,23.021925,23.040976,23.03145,22.869526,21.46935,21.421724,21.73605,21.27885,24.660225,24.888824,25.5651,23.79345,21.907501,23.441025,21.297901,23.0124,22.72665,22.298025,22.574251,21.593176,20.8788,20.8788,21.002625,20.621626,20.4978,20.316826,19.9263,19.86915,19.611975,19.592926,19.650076,19.3929,20.89785,22.374226,19.859625,19.6215,19.726274,20.088224,19.878675,21.1074,21.2217,19.773901,19.421474,19.497675,18.802351,18.76425,18.6309,18.5928,18.545176,18.545176,20.316826,19.75485,17.630775,18.392775,17.54505,17.268826,16.278225,16.506824,17.526001,17.468851,17.992725,17.440275,19.440525,16.9926,17.7927,17.81175,17.164051,16.906876,16.764,16.383,16.21155,13.4493,16.51635,16.21155,15.916275,15.497175,15.4686,15.25905,15.059025,15.144751,14.992351,15.135225,15.154275,15.097125,15.097125,14.9733,14.678025,14.582775,14.535151,14.45895,14.5161,14.354176,14.2113,14.3637,14.26845,13.9827,13.973175,13.973175,13.801725,13.73505,13.716001,13.496925,13.5921755,13.563601,13.4874,13.411201,13.249275,13.1826,13.12545,12.906375,12.9921,12.9159,13.192125,12.40155,13.001625,12.954,12.830175,12.744451,12.4968,11.86815,11.839575,12.6206255,12.658725,12.525375,12.411076,12.315825,12.315825,12.277725,12.049125,11.953876,11.67765,11.772901,11.668125,11.60145
1.0,28.8417,28.8798,28.775024,28.736925,28.403551,28.1178,27.71775,26.641426,37.20465,38.6334,34.775776,30.72765,30.651451,29.860876,29.013151,27.193876,26.84145,26.850975,26.622375,29.384624,25.936575,26.517601,27.6606,28.4226,26.736675,26.393776,26.831924,27.26055,25.898476,26.927176,26.546175,26.0604,24.4983,26.165174,26.1366,26.460451,26.1747,26.00325,25.9842,25.73655,26.241375,24.507826,24.89835,24.6507,24.36495,24.32685,24.28875,24.241125,23.669626,23.441025,23.326725,23.26005,23.479126,23.593426,24.545925,24.317326,24.507826,24.126825,23.75535,23.212425,23.802975,23.06955,23.193375,22.945724,23.612474,22.2504,22.621876,22.907625,22.879051,23.002874,23.060026,23.0505,22.850475,21.421724,21.4503,21.745575,21.288376,24.622126,24.86025,25.574625,23.783926,21.917025,23.479126,21.345526,22.9743,22.640924,22.269451,22.5552,21.536026,20.9169,20.97405,20.983576,20.59305,20.488276,20.316826,19.94535,19.79295,19.631025,19.592926,19.631025,19.421474,20.888325,22.336124,19.812,19.6215,19.688175,20.0406,19.897726,21.1074,21.231226,19.745325,19.37385,19.497675,18.802351,18.76425,18.6309,18.5928,18.53565,18.5166,20.297775,19.7358,17.611725,18.373726,17.526001,17.27835,16.297276,16.5354,17.516476,17.345026,17.992725,17.383125,19.402426,16.983076,17.7927,17.764126,17.164051,16.887825,16.74495,16.392525,16.21155,13.43025,16.51635,16.0782,15.935326,15.41145,15.4686,15.230475,15.0876,15.173326,14.992351,15.154275,15.154275,15.116176,15.097125,14.944725,14.697075,14.582775,14.535151,14.49705,14.544675,14.325601,14.2113,14.373225,14.277975,14.020801,13.973175,13.954125,13.801725,13.77315,13.706475,13.535026,13.563601,13.54455,13.50645,13.439775,13.27785,13.192125,13.1445,12.9159,13.058775,12.982575,13.134975,12.392025,13.01115,12.954,12.868275,12.753975,12.506325,11.8872,11.839575,12.6206255,12.639675,12.4682255,12.4968,12.3063,12.3444,12.296775,12.09675,11.877675,11.725275,11.811,11.668125,11.6490755
2.0,28.8036,29.317951,28.8036,28.7274,28.403551,28.127325,27.71775,26.72715,37.242752,38.6334,34.7853,30.68955,30.6705,29.860876,28.965525,27.212925,26.831924,26.84145,26.622375,29.337,25.917526,26.527124,27.6606,28.451176,26.736675,26.450926,26.822401,27.346275,25.908,26.908125,26.6319,26.050875,24.526875,26.1747,26.069925,26.30805,26.1747,26.00325,25.96515,25.746075,26.289,24.517351,24.89835,24.6507,24.36495,24.32685,24.28875,24.241125,23.669626,23.45055,23.345776,23.2791,23.536276,23.5839,24.44115,24.3078,24.488775,24.155401,23.7744,23.269575,23.79345,23.0124,23.241001,22.907625,23.56485,22.2504,22.602825,22.926676,22.8981,23.03145,23.06955,23.040976,22.879051,21.421724,21.421724,21.73605,21.31695,24.6126,24.831675,25.536526,23.764875,21.907501,23.498175,21.440775,22.964775,22.640924,22.298025,22.49805,21.497925,20.89785,21.040726,20.983576,20.602575,20.507326,20.335875,20.0025,19.802475,19.631025,19.60245,19.5834,19.431,20.926426,22.336124,19.773901,19.6215,19.67865,20.050125,19.9644,21.1074,21.250275,19.688175,19.402426,19.497675,18.811874,18.773775,18.640425,18.602325,18.53565,18.526125,20.28825,19.726274,17.592676,18.3642,17.516476,17.3355,16.3068,16.5354,17.54505,17.35455,17.9451,17.325975,19.345276,17.04975,17.802225,17.73555,17.164051,16.89735,16.849726,16.354425,16.28775,13.401675,16.554451,16.030575,15.954375,15.5067005,15.459075,15.230475,15.06855,15.144751,14.982825,15.1257,15.097125,15.116176,15.03045,14.944725,14.697075,14.57325,14.544675,14.487525,14.525625,14.335125,14.2113,14.325601,14.2875,14.020801,13.973175,13.935075,13.8303,13.7541,13.649325,13.5255,13.535026,13.535026,13.50645,13.458825,13.2588005,13.23975,13.12545,12.93495,12.982575,12.93495,13.154025,12.353925,12.9921,12.954,12.896851,12.734925,12.525375,11.858625,11.839575,12.601575,12.582525,12.4206,12.506325,12.2301,12.36345,12.315825,12.125325,11.811,11.79195,11.79195,11.687175,11.6490755
3.0,28.775024,29.575125,28.74645,28.660725,28.394026,28.108274,27.727276,26.67,37.20465,38.65245,34.80435,30.6324,30.680025,29.841825,28.9179,27.212925,26.850975,26.822401,26.65095,29.346525,25.908,26.565226,27.6606,28.460701,26.95575,26.517601,26.80335,27.155775,25.936575,26.927176,26.698576,25.9461,24.574501,26.184225,26.050875,26.279476,26.1747,26.00325,25.974676,25.746075,26.298525,24.517351,24.89835,24.6507,24.36495,24.32685,24.28875,24.241125,23.669626,23.45055,23.383875,23.298151,23.517225,23.612474,24.47925,24.28875,24.488775,24.088726,23.71725,23.3172,23.783926,23.06955,23.155275,22.926676,23.5839,22.278975,22.6695,22.945724,22.91715,23.0505,23.060026,23.0505,22.8981,21.4503,21.43125,21.669374,21.297901,24.63165,24.812626,25.536526,23.75535,21.88845,23.5077,21.574125,22.95525,22.574251,22.259926,22.49805,21.459826,20.888325,21.08835,20.955,20.602575,20.4978,20.3454,19.935825,19.802475,19.611975,19.592926,19.592926,19.421474,20.983576,22.34565,19.726274,19.60245,19.669125,19.992975,19.992975,21.116926,21.1455,19.6977,19.383375,19.5072,18.811874,18.773775,18.640425,18.602325,18.53565,18.53565,20.259676,19.6977,17.611725,18.3642,17.478374,17.325975,16.3068,16.525875,17.5641,17.3355,17.954626,17.345026,19.345276,17.04975,17.783175,17.764126,17.135475,16.906876,16.811625,16.36395,16.3449,13.382626,16.602076,16.011526,15.9258,15.497175,15.4686,15.25905,15.059025,15.144751,15.039975,15.1257,15.1257,15.06855,14.982825,14.91615,14.7066,14.5923,14.5161,14.487525,14.5161,14.325601,14.2303505,14.297025,14.297025,14.068425,13.973175,13.916025,13.8303,13.7541,13.69695,13.496925,13.535026,13.5255,13.477875,13.325475,13.23975,13.192125,13.16355,12.954,12.982575,12.982575,13.12545,12.32535,12.954,12.9159,12.9159,12.744451,12.525375,11.86815,11.83005,12.5349,12.63015,12.487275,12.449175,12.125325,12.36345,12.277725,12.106276,11.782425,11.763375,11.772901,11.630025,11.534775
4.0,28.736925,29.85135,28.67025,28.651201,28.44165,28.1178,27.71775,26.61285,37.195126,38.642925,34.928177,30.622875,30.708601,29.81325,28.927425,27.231976,26.87955,26.84145,26.660475,29.422726,25.936575,26.565226,27.689175,28.489275,27.0129,26.57475,26.755726,26.9748,25.9461,26.965275,26.7462,25.8699,24.63165,26.203276,26.031826,26.260426,26.165174,26.00325,26.00325,25.7556,26.298525,24.517351,24.907875,24.6507,24.36495,24.336376,24.28875,24.241125,23.688675,23.45055,23.402925,23.288626,23.5077,23.602951,24.526875,24.279224,24.517351,24.050625,23.726776,23.326725,23.8125,23.079075,23.193375,22.926676,23.612474,22.278975,22.659975,22.95525,22.888575,23.040976,23.079075,23.060026,22.850475,21.478876,21.43125,21.612225,21.297901,24.603075,24.822151,25.555574,23.75535,21.9456,23.498175,21.897976,22.936201,22.53615,22.278975,22.488525,21.46935,20.926426,21.12645,20.907375,20.621626,20.4978,20.3454,19.9263,19.812,19.64055,19.60245,19.631025,19.3929,20.97405,22.34565,19.75485,19.64055,19.67865,19.9263,20.0025,21.12645,21.155025,19.707226,19.421474,19.52625,18.811874,18.7833,18.640425,18.602325,18.53565,18.53565,20.2311,19.6596,17.611725,18.3642,17.497425,17.345026,16.316326,16.51635,17.54505,17.2593,17.9451,17.345026,19.33575,17.145,17.802225,17.726025,17.1069,16.9164,16.830675,16.3449,16.32585,13.3731,16.621124,16.049625,15.935326,15.478126,15.4686,15.268575,15.039975,15.135225,15.0209255,15.097125,15.1257,15.0209255,15.03045,14.906625,14.7066,14.57325,14.544675,14.525625,14.5161,14.316075,14.2494,14.2875,14.2875,14.03985,14.020801,13.9446,13.84935,13.77315,13.563601,13.4874,13.54455,13.4874,13.46835,13.2969,13.249275,13.192125,13.154025,12.97305,12.8778,12.954,13.1445,12.40155,12.982575,12.944475,12.85875,12.734925,12.5349,11.877675,11.83005,12.47775,12.6111,12.487275,12.334875,12.239625,12.3825,12.258676,12.1539,11.877675,11.687175,11.782425,11.630025,11.382375
5.0,28.794075,29.88945,28.86075,28.641676,28.451176,28.108274,27.71775,26.565226,37.157024,38.61435,34.985325,30.565725,30.775276,29.8323,28.927425,27.251026,26.908125,26.850975,26.660475,29.403675,25.936575,26.5557,27.71775,28.470226,26.95575,26.641426,26.717625,27.03195,25.974676,26.984325,26.765251,25.8699,24.679276,26.222324,25.96515,26.23185,26.165174,26.012775,26.00325,25.727026,26.298525,24.526875,24.907875,24.6507,24.36495,24.336376,24.298275,24.241125,23.669626,23.4315,23.45055,23.2791,23.5077,23.574375,24.584024,24.260176,24.526875,24.050625,23.7744,23.326725,23.8125,23.040976,23.079075,22.879051,23.574375,22.240875,22.659975,22.95525,22.888575,23.0886,23.098125,23.079075,22.831425,21.459826,21.43125,21.602701,21.355051,24.59355,24.831675,25.546051,23.745825,21.974174,23.5077,22.240875,22.907625,22.412325,22.259926,22.45995,21.478876,21.002625,21.097876,20.9169,20.602575,20.51685,20.335875,19.9263,19.802475,19.64055,19.631025,19.60245,19.421474,20.97405,22.2885,19.79295,19.64055,19.707226,19.94535,20.021551,21.116926,21.174076,19.669125,19.421474,19.497675,18.811874,18.7833,18.640425,18.61185,18.53565,18.545176,20.193,19.60245,17.611725,18.335625,17.478374,17.306925,16.3068,16.51635,17.516476,17.249775,17.9451,17.345026,19.29765,17.20215,17.7927,17.706976,17.12595,16.887825,16.811625,16.354425,16.259174,13.335,16.640175,16.0782,15.935326,15.5067005,15.4686,15.344775,15.0876,15.144751,14.992351,15.059025,15.06855,15.059025,15.10665,14.925675,14.7161255,14.582775,14.535151,14.487525,14.5161,14.325601,14.2303505,14.2875,14.2875,14.020801,14.011275,13.954125,13.820775,13.7922,13.649325,13.458825,13.535026,13.4874,13.458825,13.325475,13.2588005,13.192125,13.1445,12.954,12.868275,12.887325,13.192125,12.372975,12.944475,12.925426,12.868275,12.8016,12.544425,11.896725,11.820525,12.47775,12.63015,12.430125,12.3063,12.3063,12.40155,12.220575,12.182475,11.934825,11.668125,11.763375,11.630025,11.48715
6.0,28.89885,29.956125,28.851225,28.7274,28.44165,28.1178,27.736801,26.5557,37.1475,38.5953,35.023426,30.53715,30.76575,29.841825,28.927425,27.26055,26.9367,26.850975,26.660475,29.308426,25.936575,26.53665,27.75585,28.4988,26.908125,26.708101,26.72715,27.060526,25.96515,26.99385,26.7843,25.822275,24.6888,26.23185,25.96515,26.184225,26.165174,26.00325,25.993725,25.727026,26.317575,24.526875,24.907875,24.6507,24.36495,24.336376,24.298275,24.241125,23.6982,23.460075,23.41245,23.33625,23.5077,23.574375,24.622126,24.222075,24.526875,24.09825,23.75535,23.3553,23.936325,23.021925,23.040976,22.850475,23.545801,22.278975,22.640924,22.936201,22.879051,23.0886,23.1267,23.06955,22.80285,21.459826,21.440775,21.62175,21.39315,24.584024,24.812626,25.498425,23.7363,22.012276,23.536276,22.5933,22.831425,22.431376,22.259926,22.45995,21.478876,21.01215,20.993101,20.8788,20.602575,20.526375,20.36445,19.8882,19.812,19.6215,19.64055,19.611975,19.45005,20.97405,22.2885,19.812,19.611975,19.75485,19.897726,20.0406,21.1455,21.193125,19.6215,19.440525,19.478624,18.811874,18.792826,18.640425,18.61185,18.53565,18.545176,20.183475,19.592926,17.62125,18.30705,17.4879,17.287876,16.28775,16.525875,17.54505,17.24025,17.935575,17.35455,19.288126,17.287876,17.821276,17.687925,17.145,16.887825,16.78305,16.36395,16.221075,13.335,16.811625,16.125826,15.973425,15.5829,15.41145,15.363825,15.144751,15.144751,15.001875,15.1257,15.06855,15.0495,15.0495,14.9352,14.7066,14.61135,14.525625,14.468475,14.525625,14.316075,14.2303505,14.26845,14.2875,14.049376,14.00175,13.935075,13.8303,13.782675,13.649325,13.458825,13.54455,13.4874,13.496925,13.306425,13.2207,13.16355,13.173075,12.954,12.8778,12.963525,13.211175,12.372975,12.982575,12.9159,12.868275,12.792075,12.5349,11.896725,11.820525,12.2872505,12.658725,12.353925,12.430125,12.3444,12.36345,12.163425,12.1158,11.915775,11.610975,11.79195,11.630025,11.5443
7.0,28.851225,30.070425,28.86075,28.651201,28.394026,28.146376,27.736801,26.5557,37.023674,38.6334,35.03295,30.489525,30.775276,29.8704,28.956001,27.289125,26.946226,26.889076,26.679525,29.2989,25.936575,26.431875,27.736801,28.5369,26.850975,26.717625,26.755726,27.0891,25.96515,26.965275,26.812876,25.784176,24.70785,26.222324,25.879425,26.127075,26.165174,26.0223,25.993725,25.7175,26.336626,24.526875,24.907875,24.660225,24.374475,24.336376,24.298275,24.25065,23.6982,23.45055,23.612474,23.4696,23.5077,23.593426,24.622126,24.17445,24.517351,24.126825,23.75535,23.383875,24.012526,23.0124,22.926676,22.80285,23.498175,22.259926,22.640924,22.945724,22.8981,23.0886,23.10765,23.021925,22.774275,21.459826,21.4503,21.659851,21.4122,24.574501,24.78405,25.479376,23.7363,21.974174,23.56485,23.14575,22.6695,22.336124,22.23135,22.45995,21.50745,21.01215,20.907375,20.793076,20.574,20.526375,20.335875,19.878675,19.783424,19.631025,19.64055,19.592926,19.4691,20.964525,22.278975,19.821526,19.631025,19.973925,19.86915,20.0025,21.135975,21.20265,19.6215,19.45005,19.45005,18.8214,18.792826,18.64995,18.61185,18.53565,18.53565,20.17395,19.535776,17.611725,18.30705,17.468851,17.2974,16.335375,16.544926,17.554575,17.287876,17.954626,17.35455,19.2405,17.3355,17.7927,17.69745,17.145,16.868774,16.74495,16.40205,16.240126,13.382626,16.82115,16.1544,15.935326,15.5448,15.41145,15.382875,15.135225,15.135225,15.0114,15.192375,15.116176,15.059025,15.135225,14.9352,14.7066,14.61135,14.5542,14.478001,14.5542,14.316075,14.2303505,14.2875,14.354176,14.0779505,14.00175,13.9065,13.877925,13.7922,13.6398,13.420725,13.563601,13.46835,13.5255,13.4493,13.2588005,13.211175,13.1445,13.01115,12.944475,12.887325,13.2207,12.411076,12.982575,12.896851,12.944475,12.792075,12.506325,11.90625,11.820525,12.192,12.658725,12.296775,12.430125,12.36345,12.3825,12.182475,12.068175,11.877675,11.56335,11.772901,11.6586,11.56335
8.0,28.908375,30.070425,28.813126,28.63215,28.3845,28.155901,27.765375,26.546175,36.995102,38.642925,35.2044,30.48,30.794325,29.860876,28.93695,27.289125,26.91765,26.91765,26.660475,29.327475,25.96515,26.4414,27.75585,28.5369,26.822401,26.72715,26.7462,27.136724,25.96515,26.95575,26.7843,25.860374,24.698326,26.203276,25.841326,26.069925,26.155651,26.012775,25.9842,25.727026,26.3271,24.526875,24.907875,24.660225,24.374475,24.336376,24.298275,24.25065,23.688675,23.4315,23.593426,23.602951,23.5077,23.5839,24.584024,24.126825,24.4983,24.17445,23.75535,23.3934,23.974424,22.936201,22.72665,22.774275,23.45055,22.2504,22.659975,22.964775,22.91715,23.098125,23.10765,23.040976,22.774275,21.4884,21.440775,21.6789,21.421724,24.6507,24.755476,25.4508,23.726776,21.907501,23.602951,23.4315,22.5171,22.38375,22.23135,22.42185,21.4503,20.926426,20.888325,20.735926,20.621626,20.507326,20.3454,19.897726,19.802475,19.64055,19.631025,19.60245,19.4691,20.983576,22.269451,19.83105,19.611975,20.183475,19.859625,20.0025,21.12645,21.212175,19.650076,19.421474,19.48815,18.8214,18.792826,18.64995,18.61185,18.53565,18.53565,20.145374,19.48815,17.6022,18.3261,17.440275,17.306925,16.383,16.554451,17.535524,17.364075,17.935575,17.325975,19.2024,17.306925,17.802225,17.773651,17.135475,16.887825,16.74495,16.383,16.17345,13.354051,16.8402,16.13535,15.954375,15.497175,15.478126,15.3543005,15.1257,15.116176,14.992351,15.1638,15.078075,15.06855,15.097125,14.8685255,14.7066,14.61135,14.5542,14.468475,14.535151,14.316075,14.2303505,14.2875,14.3637,14.11605,14.00175,13.92555,13.868401,13.782675,13.62075,13.439775,13.535026,13.4493,13.4493,13.535026,13.2588005,13.1826,13.16355,13.01115,12.925426,12.868275,13.211175,12.36345,13.049251,12.944475,12.896851,12.896851,12.525375,11.934825,11.811,12.353925,12.658725,12.372975,12.4587,12.372975,12.334875,12.192,12.087225,11.8872,11.725275,11.79195,11.668125,11.5824
9.0,28.984575,30.2133,28.63215,28.489275,28.403551,28.146376,27.71775,26.5557,37.004627,38.6334,35.232975,30.413326,30.813375,29.860876,28.89885,27.251026,26.91765,26.927176,26.68905,29.327475,25.974676,26.3652,27.793951,28.603575,26.7843,26.774775,26.755726,27.174826,25.936575,26.946226,26.774775,25.860374,24.66975,26.19375,25.822275,25.993725,26.184225,26.031826,25.9842,25.73655,26.279476,24.526875,24.907875,24.660225,24.374475,24.336376,24.298275,24.25065,23.6601,23.45055,23.555325,23.79345,23.479126,23.593426,24.59355,24.0792,24.469725,24.183975,23.726776,23.41245,24.031576,22.964775,22.72665,22.831425,23.383875,22.269451,22.659975,22.926676,22.907625,23.10765,23.098125,23.040976,22.8219,21.50745,21.4503,21.69795,21.39315,24.6888,24.8031,25.4508,23.7363,21.897976,23.650576,23.688675,22.564726,22.221825,22.23135,22.393276,21.4503,20.8788,20.8788,20.70735,20.678776,20.545425,20.373976,19.878675,19.802475,19.650076,19.611975,19.60245,19.421474,20.993101,22.240875,19.821526,19.611975,20.05965,19.840576,20.012026,21.135975,21.193125,19.650076,19.459576,19.440525,18.8214,18.802351,18.64995,18.61185,18.526125,18.53565,20.145374,19.497675,17.630775,18.297525,17.468851,17.306925,16.392525,16.583025,17.526001,17.383125,17.92605,17.325975,19.18335,17.145,17.802225,17.81175,17.1831,16.868774,16.74495,16.335375,16.2306,13.31595,16.849726,15.98295,15.973425,15.497175,15.497175,15.4305,15.1638,15.135225,15.0209255,15.144751,15.097125,15.0114,15.0495,14.906625,14.7161255,14.5923,14.5542,14.49705,14.487525,14.316075,14.220825,14.297025,14.335125,14.11605,14.011275,13.9446,13.916025,13.7541,13.563601,13.4874,13.5255,13.43025,13.344525,13.439775,13.268325,13.192125,13.12545,13.049251,12.925426,12.868275,13.211175,12.411076,13.001625,12.944475,12.85875,13.049251,12.5349,11.934825,11.820525,12.506325,12.6492,12.47775,12.487275,12.334875,12.353925,12.201525,12.125325,11.972925,11.839575,11.811,11.6967,11.60145
