"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   1.16028344631E+00  -1.60732002258E+01  N21654.00001
   7.20823764801E+00  -1.43049001694E+01  N21654.00002
   1.93638172150E+01  -7.36280012131E+00  N15314.00001
   2.18523521423E+01  -7.32929992676E+00  N15314.00002
   2.37030487061E+01  -7.21040010452E+00  N15314.00003
   2.42509918213E+01  -7.17070007324E+00  N15314.00004
   2.43875923157E+01  -7.08540010452E+00  N15314.00005
   2.40096435547E+01  -7.00610017776E+00  N15314.00006
   2.34678916931E+01  -7.05179977417E+00  N15314.00007
   2.28829612732E+01  -7.09149980545E+00  N15314.00008
   2.26240272522E+01  -6.88719987869E+00  N15314.00009
   2.33427066803E+01  -6.85059976578E+00  N15314.00010
   2.36379642487E+01  -6.81099987030E+00  N15314.00011
   2.44716300964E+01  -6.78049993515E+00  N15314.00012
   2.48245334625E+01  -6.71950006485E+00  N15314.00013
   2.41872043610E+01  -6.71649980545E+00  N15314.00014
   2.29179840088E+01  -6.64629983902E+00  N15314.00015
   2.21439704895E+01  -6.64629983902E+00  N15314.00016
   2.13791446686E+01  -6.81099987030E+00  N15314.00017
   2.06317996979E+01  -6.82320022583E+00  N15314.00018
   1.99556465149E+01  -6.91769981384E+00  N15314.00019
   1.95600147247E+01  -6.87500000000E+00  N15314.00020
   1.80776939392E+01  -7.46040010452E+00  N15314.00021
   1.75812759399E+01  -7.37799978256E+00  N15314.00022
   1.68734378815E+01  -7.57009983063E+00  N15314.00023
   1.61671161652E+01  -7.64629983902E+00  N15314.00024
   1.47754926682E+01  -7.85979986191E+00  N15314.00025
   1.40845518112E+01  -7.97870016098E+00  N15314.00026
   1.27474422455E+01  -8.11890029907E+00  N15314.00027
   1.14208955765E+01  -8.19209957123E+00  N15314.00028
   1.09345941544E+01  -8.18900012970E+00  N15314.00029
   1.03919372559E+01  -8.17990016937E+00  N15314.00030
   9.87227058411E+00  -8.32009983063E+00  N15314.00031
   9.40458965302E+00  -8.28660011292E+00  N15314.00032
   9.03662395477E+00  -8.11590003967E+00  N15314.00033
   8.61603450775E+00  -7.99700021744E+00  N15314.00034
   8.36387634277E+00  -7.98479986191E+00  N15314.00035
   8.06919097900E+00  -8.04269981384E+00  N15314.00036
   7.49563169479E+00  -7.99389982224E+00  N15314.00037
   7.27278995514E+00  -7.89940023422E+00  N15314.00038
   6.93032264709E+00  -7.61280012131E+00  N15314.00039
   8.74642848969E+00  -7.58839988708E+00  N15314.00040
   1.01062469482E+01  -7.59450006485E+00  N15314.00041
   1.17047796249E+01  -7.35669994354E+00  N15314.00042
   1.29551715851E+01  -7.35979986191E+00  N15314.00043
   1.39525470734E+01  -7.13409996033E+00  N15314.00044
   1.52736883163E+01  -7.14330005646E+00  N15314.00045
   1.68291778564E+01  -7.22259998322E+00  N15314.00046
   2.13833007812E+01  -6.94210004807E+00  N15314.00047
   2.26261825562E+01  -6.92990016937E+00  N15314.00048
   2.44354686737E+01  -6.91769981384E+00  N15314.00049
   2.58696250916E+01  -6.78350019455E+00  N15314.00050
   2.70628318787E+01  -6.71649980545E+00  N15314.00051
   2.76373424530E+01  -6.72259998322E+00  N15314.00052
   2.74874801636E+01  -6.62500000000E+00  N15314.00053
   2.75456466675E+01  -6.51830005646E+00  N15314.00054
   2.73338966370E+01  -6.44820022583E+00  N15314.00055
   2.59744033813E+01  -6.53660011292E+00  N15314.00056
   2.52052783966E+01  -6.67379999161E+00  N15314.00057
   2.42333011627E+01  -7.04269981384E+00  N15314.00058
   2.24481182098E+01  -7.22259998322E+00  N15314.00059
   2.15808563232E+01  -7.32009983063E+00  N15314.00060
   2.07540092468E+01  -7.42679977417E+00  N15314.00061
   1.99621753693E+01  -7.57620000839E+00  N15314.00062
   1.84131870270E+01  -7.75610017776E+00  N15314.00063
   1.76472644806E+01  -7.83230018616E+00  N15314.00064
   1.69014263153E+01  -7.86590003967E+00  N15314.00065
