BEGIN Observation_Data Table
NROW=571 NCOL=3 COLUMNLABELS 
ObsName GroupName ObsValue
N21654.00001 Heads -16.0732002258
N21654.00002 Heads -14.3049001694
N15314.00001 Heads -7.36280012131
N15314.00002 Heads -7.32929992676
N15314.00003 Heads -7.21040010452
N15314.00004 Heads -7.17070007324
N15314.00005 Heads -7.08540010452
N15314.00006 Heads -7.00610017776
N15314.00007 Heads -7.05179977417
N15314.00008 Heads -7.09149980545
N15314.00009 Heads -6.88719987869
N15314.00010 Heads -6.85059976578
N15314.00011 Heads -6.8109998703
N15314.00012 Heads -6.78049993515
N15314.00013 Heads -6.71950006485
N15314.00014 Heads -6.71649980545
N15314.00015 Heads -6.64629983902
N15314.00016 Heads -6.64629983902
N15314.00017 Heads -6.8109998703
N15314.00018 Heads -6.82320022583
N15314.00019 Heads -6.91769981384
N15314.00020 Heads -6.875
N15314.00021 Heads -7.46040010452
N15314.00022 Heads -7.37799978256
N15314.00023 Heads -7.57009983063
N15314.00024 Heads -7.64629983902
N15314.00025 Heads -7.85979986191
N15314.00026 Heads -7.97870016098
N15314.00027 Heads -8.11890029907
N15314.00028 Heads -8.19209957123
N15314.00029 Heads -8.1890001297
N15314.00030 Heads -8.17990016937
N15314.00031 Heads -8.32009983063
N15314.00032 Heads -8.28660011292
N15314.00033 Heads -8.11590003967
N15314.00034 Heads -7.99700021744
N15314.00035 Heads -7.98479986191
N15314.00036 Heads -8.04269981384
N15314.00037 Heads -7.99389982224
N15314.00038 Heads -7.89940023422
N15314.00039 Heads -7.61280012131
N15314.00040 Heads -7.58839988708
N15314.00041 Heads -7.59450006485
N15314.00042 Heads -7.35669994354
N15314.00043 Heads -7.35979986191
N15314.00044 Heads -7.13409996033
N15314.00045 Heads -7.14330005646
N15314.00046 Heads -7.22259998322
N15314.00047 Heads -6.94210004807
N15314.00048 Heads -6.92990016937
N15314.00049 Heads -6.91769981384
N15314.00050 Heads -6.78350019455
N15314.00051 Heads -6.71649980545
N15314.00052 Heads -6.72259998322
N15314.00053 Heads -6.625
N15314.00054 Heads -6.51830005646
N15314.00055 Heads -6.44820022583
N15314.00056 Heads -6.53660011292
N15314.00057 Heads -6.67379999161
N15314.00058 Heads -7.04269981384
N15314.00059 Heads -7.22259998322
N15314.00060 Heads -7.32009983063
N15314.00061 Heads -7.42679977417
N15314.00062 Heads -7.57620000839
N15314.00063 Heads -7.75610017776
N15314.00064 Heads -7.83230018616
N15314.00065 Heads -7.86590003967
