k,i,j,bhead,cond
0,0,0,0,0.3011611129760743
1,0,0,0,3.33467876953125
2,0,0,0,4.1942485546875
0,1,0,0,0.3011611129760743
1,1,0,0,3.33467876953125
2,1,0,0,4.1942485546875
0,2,0,0,0.3011611129760743
1,2,0,0,3.33467876953125
2,2,0,0,4.1942485546875
0,3,0,0,0.3011611129760743
1,3,0,0,3.33467876953125
2,3,0,0,4.1942485546875
0,4,0,0,0.3011611129760743
1,4,0,0,3.33467876953125
2,4,0,0,4.1942485546875
0,5,0,0,0.3011611129760743
1,5,0,0,3.33467876953125
2,5,0,0,4.1942485546875
0,6,0,0,0.3011611129760743
1,6,0,0,3.33467876953125
2,6,0,0,4.1942485546875
0,7,0,0,0.3011611129760743
1,7,0,0,3.33467876953125
2,7,0,0,4.1942485546875
0,8,0,0,0.3011611129760743
1,8,0,0,3.33467876953125
2,8,0,0,4.1942485546875
0,9,0,0,0.3011611129760743
1,9,0,0,3.33467876953125
2,9,0,0,4.1942485546875
0,10,0,0,0.3011611129760743
1,10,0,0,3.33467876953125
2,10,0,0,4.1942485546875
0,11,0,0,0.3011611129760743
1,11,0,0,3.33467876953125
2,11,0,0,4.1942485546875
0,12,0,0,0.3011611129760743
1,12,0,0,3.33467876953125
2,12,0,0,4.1942485546875
0,13,0,0,0.3011611129760743
1,13,0,0,3.33467876953125
2,13,0,0,4.1942485546875
0,14,0,0,0.3011611129760743
1,14,0,0,3.33467876953125
2,14,0,0,4.1942485546875
0,15,0,0,0.3011611129760743
1,15,0,0,3.33467876953125
2,15,0,0,4.1942485546875
0,16,0,0,0.3011611129760743
1,16,0,0,3.33467876953125
2,16,0,0,4.1942485546875
0,17,0,0,0.3011611129760743
1,17,0,0,3.33467876953125
2,17,0,0,4.1942485546875
0,18,0,0,0.3011611129760743
1,18,0,0,3.33467876953125
2,18,0,0,4.1942485546875
0,19,0,0,0.3011611129760743
1,19,0,0,3.33467876953125
2,19,0,0,4.1942485546875
0,20,0,0,0.3011611129760743
1,20,0,0,3.33467876953125
2,20,0,0,4.1942485546875
0,21,0,0,0.3011611129760743
1,21,0,0,3.33467876953125
2,21,0,0,4.1942485546875
0,22,0,0,0.3011611129760743
1,22,0,0,3.33467876953125
2,22,0,0,4.1942485546875
0,23,0,0,0.3011611129760743
1,23,0,0,3.33467876953125
2,23,0,0,4.1942485546875
0,24,0,0,0.3011611129760743
1,24,0,0,3.33467876953125
2,24,0,0,4.1942485546875
0,25,0,0,0.3011611129760743
1,25,0,0,3.33467876953125
2,25,0,0,4.1942485546875
0,26,0,0,0.3011611129760743
1,26,0,0,3.33467876953125
2,26,0,0,4.1942485546875
0,27,0,0,0.3011611129760743
1,27,0,0,3.33467876953125
2,27,0,0,4.1942485546875
0,28,0,0,0.3011611129760743
1,28,0,0,3.33467876953125
2,28,0,0,4.1942485546875
0,29,0,0,0.3011611129760743
1,29,0,0,3.33467876953125
2,29,0,0,4.1942485546875
0,30,0,0,0.3011611129760743
1,30,0,0,3.33467876953125
2,30,0,0,4.1942485546875
0,31,0,0,0.3011611129760743
1,31,0,0,3.33467876953125
2,31,0,0,4.1942485546875
0,32,0,0,0.3011611129760743
1,32,0,0,3.33467876953125
2,32,0,0,4.1942485546875
0,33,0,0,0.3011611129760743
1,33,0,0,3.33467876953125
2,33,0,0,4.1942485546875
0,34,0,0,0.3011611129760743
1,34,0,0,3.33467876953125
2,34,0,0,4.1942485546875
0,35,0,0,0.3011611129760743
1,35,0,0,3.33467876953125
2,35,0,0,4.1942485546875
0,36,0,0,0.3011611129760743
1,36,0,0,3.33467876953125
2,36,0,0,4.1942485546875
0,37,0,0,0.3011611129760743
1,37,0,0,3.33467876953125
2,37,0,0,4.1942485546875
0,38,0,0,0.3011611129760743
1,38,0,0,3.33467876953125
2,38,0,0,4.1942485546875
0,39,0,0,0.3011611129760743
1,39,0,0,3.33467876953125
2,39,0,0,4.1942485546875
0,40,0,0,0.3011611129760743
1,40,0,0,3.33467876953125
2,40,0,0,4.1942485546875
0,41,0,0,0.3011611129760743
1,41,0,0,3.33467876953125
2,41,0,0,4.1942485546875
0,42,0,0,0.3011611129760743
1,42,0,0,3.33467876953125
2,42,0,0,4.1942485546875
0,43,0,0,0.3011611129760743
1,43,0,0,3.33467876953125
2,43,0,0,4.1942485546875
0,44,0,0,0.3011611129760743
1,44,0,0,3.33467876953125
2,44,0,0,4.1942485546875
0,45,0,0,0.3011611129760743
1,45,0,0,3.33467876953125
2,45,0,0,4.1942485546875
0,46,0,0,0.3011611129760743
1,46,0,0,3.33467876953125
2,46,0,0,4.1942485546875
0,47,0,0,0.3011611129760743
1,47,0,0,3.33467876953125
2,47,0,0,4.1942485546875
0,48,0,0,0.3011611129760743
1,48,0,0,3.33467876953125
2,48,0,0,4.1942485546875
0,49,0,0,0.3011611129760743
1,49,0,0,3.33467876953125
2,49,0,0,4.1942485546875
0,50,0,0,0.3011611129760743
1,50,0,0,3.33467876953125
2,50,0,0,4.1942485546875
0,51,0,0,0.3011611129760743
1,51,0,0,3.33467876953125
2,51,0,0,4.1942485546875
0,52,0,0,0.3011611129760743
1,52,0,0,3.33467876953125
2,52,0,0,4.1942485546875
0,53,0,0,0.3011611129760743
1,53,0,0,3.33467876953125
2,53,0,0,4.1942485546875
0,54,0,0,0.3011611129760743
1,54,0,0,3.33467876953125
2,54,0,0,4.1942485546875
0,55,0,0,0.3011611129760743
1,55,0,0,3.33467876953125
2,55,0,0,4.1942485546875
0,56,0,0,0.3011611129760743
1,56,0,0,3.33467876953125
2,56,0,0,4.1942485546875
0,57,0,0,0.3011611129760743
1,57,0,0,3.33467876953125
2,57,0,0,4.1942485546875
0,58,0,0,0.3011611129760743
1,58,0,0,3.33467876953125
2,58,0,0,4.1942485546875
0,59,0,0,0.3011611129760743
1,59,0,0,3.33467876953125
2,59,0,0,4.1942485546875
0,60,0,0,0.3011611129760743
1,60,0,0,3.33467876953125
2,60,0,0,4.1942485546875
0,61,0,0,0.3011611129760743
1,61,0,0,3.33467876953125
2,61,0,0,4.1942485546875
0,62,0,0,0.3011611129760743
1,62,0,0,3.33467876953125
2,62,0,0,4.1942485546875
0,63,0,0,0.3011611129760743
1,63,0,0,3.33467876953125
2,63,0,0,4.1942485546875
0,64,0,0,0.3011611129760743
1,64,0,0,3.33467876953125
2,64,0,0,4.1942485546875
0,65,0,0,0.3011611129760743
1,65,0,0,3.33467876953125
2,65,0,0,4.1942485546875
0,66,0,0,0.3011611129760743
1,66,0,0,3.33467876953125
2,66,0,0,4.1942485546875
0,67,0,0,0.3011611129760743
1,67,0,0,3.33467876953125
2,67,0,0,4.1942485546875
0,68,0,0,0.3011611129760743
1,68,0,0,3.33467876953125
2,68,0,0,4.1942485546875
0,69,0,0,0.3011611129760743
1,69,0,0,3.33467876953125
2,69,0,0,4.1942485546875
0,70,0,0,0.3011611129760743
1,70,0,0,3.33467876953125
2,70,0,0,4.1942485546875
0,71,0,0,0.3011611129760743
1,71,0,0,3.33467876953125
2,71,0,0,4.1942485546875
0,72,0,0,0.3011611129760743
1,72,0,0,3.33467876953125
2,72,0,0,4.1942485546875
0,73,0,0,0.3011611129760743
1,73,0,0,3.33467876953125
2,73,0,0,4.1942485546875
0,74,0,0,0.3011611129760743
1,74,0,0,3.33467876953125
2,74,0,0,4.1942485546875
0,75,0,0,0.3011611129760743
1,75,0,0,3.33467876953125
2,75,0,0,4.1942485546875
0,76,0,0,0.3011611129760743
1,76,0,0,3.33467876953125
2,76,0,0,4.1942485546875
0,77,0,0,0.3011611129760743
1,77,0,0,3.33467876953125
2,77,0,0,4.1942485546875
0,78,0,0,0.3011611129760743
1,78,0,0,3.33467876953125
2,78,0,0,4.1942485546875
0,79,0,0,0.3011611129760743
1,79,0,0,3.33467876953125
2,79,0,0,4.1942485546875
0,80,0,0,0.3011611129760743
1,80,0,0,3.33467876953125
2,80,0,0,4.1942485546875
0,81,0,0,0.3011611129760743
1,81,0,0,3.33467876953125
2,81,0,0,4.1942485546875
0,82,0,0,0.3011611129760743
1,82,0,0,3.33467876953125
2,82,0,0,4.1942485546875
0,83,0,0,0.3011611129760743
1,83,0,0,3.33467876953125
2,83,0,0,4.1942485546875
0,84,0,0,0.3011611129760743
