k,i,j,bhead,cond
0,0,0,-4.745607669799637,3.0116111297607424
1,0,0,-4.745607669799637,33.3467876953125
2,0,0,-4.745607669799637,41.942485546875005
0,0,1,-4.814456158434438,3.0683999130249027
1,0,1,-4.814456158434438,33.2715251953125
2,0,1,-4.814456158434438,41.738635546875
0,0,2,-4.882004577924078,3.130194259643555
1,0,2,-4.882004577924078,33.19626533203125
2,0,2,-4.882004577924078,41.53478291015625
0,0,3,-4.6936592130642465,4.559022344970704
1,0,3,-4.6936592130642465,33.12100283203126
2,0,3,-4.6936592130642465,41.33092763671875
0,0,4,-4.836056021596925,3.8119679901123047
1,0,4,-4.836056021596925,33.04574296875
2,0,4,-4.836056021596925,41.127075000000005
0,0,5,-4.982502067837221,4.180600140380859
1,0,5,-4.982502067837221,32.97048046875
2,0,5,-4.982502067837221,40.9232197265625
0,0,6,-5.1330236649325505,3.7611235862731935
1,0,6,-5.1330236649325505,32.89522060546876
2,0,6,-5.1330236649325505,40.71936708984376
0,0,7,-5.287161055327886,3.8562882247924803
1,0,7,-5.287161055327886,32.81995810546876
2,0,7,-5.287161055327886,40.51551181640625
0,0,8,-5.445683365088404,3.89541177520752
1,0,8,-5.445683365088404,32.74469560546875
2,0,8,-5.445683365088404,40.31166181640626
0,0,9,-5.6078194611835555,4.029102149963379
1,0,9,-5.6078194611835555,32.6694357421875
2,0,9,-5.6078194611835555,40.10780390625
0,0,10,-5.77407057214054,3.9991367477417
1,0,10,-5.77407057214054,32.59417324218751
2,0,10,-5.77407057214054,39.90395390625
0,0,11,-5.944144452307356,5.707060729980469
1,0,11,-5.944144452307356,32.518913378906255
2,0,11,-5.944144452307356,39.70010126953125
0,0,12,-6.118226081518483,4.115687585449218
1,0,12,-6.118226081518483,32.44365087890625
2,0,12,-6.118226081518483,39.496245996093755
0,0,13,-6.296198839148307,4.31347057800293
1,0,13,-6.296198839148307,32.368391015625
2,0,13,-6.296198839148307,39.292393359375
0,0,14,-6.477562452267574,4.11095830078125
1,0,14,-6.477562452267574,32.29312851562501
