k,i,j,bhead,cond
0,99,0,-7.18323903340636,6.728046350097657
1,99,0,-7.18323903340636,33.3467876953125
2,99,0,-7.18323903340636,41.942485546875005
0,99,1,-7.503551004126584,6.7920767578125
1,99,1,-7.503551004126584,33.2715251953125
2,99,1,-7.503551004126584,41.738635546875
0,99,2,-7.878008777913081,6.861197021484375
1,99,2,-7.878008777913081,33.19626533203125
2,99,2,-7.878008777913081,41.53478291015625
0,99,3,-8.299247039429408,6.722465075683594
1,99,3,-8.299247039429408,33.12100283203126
2,99,3,-8.299247039429408,41.33092763671875
0,99,4,-8.75165356250243,6.353212719726563
1,99,4,-8.75165356250243,33.04574296875
2,99,4,-8.75165356250243,41.127075000000005
0,99,5,-9.226842150901357,5.490160949707032
1,99,5,-9.226842150901357,32.97048046875
2,99,5,-9.226842150901357,40.9232197265625
0,99,6,-9.718563025887265,6.481857568359375
1,99,6,-9.718563025887265,32.89522060546876
2,99,6,-9.718563025887265,40.71936708984376
1,99,7,-10.221671647874318,32.81995810546876
2,99,7,-10.221671647874318,40.51551181640625
1,99,8,-10.733847507816344,32.74469560546875
2,99,8,-10.733847507816344,40.31166181640626
1,99,9,-11.253051707131059,32.6694357421875
2,99,9,-11.253051707131059,40.10780390625
1,99,10,-11.778176643040586,32.59417324218751
2,99,10,-11.778176643040586,39.90395390625
1,99,11,-12.308185219175998,32.518913378906255
2,99,11,-12.308185219175998,39.70010126953125
1,99,12,-12.841922973168247,32.44365087890625
2,99,12,-12.841922973168247,39.496245996093755
1,99,13,-13.378983713246633,32.368391015625
2,99,13,-13.378983713246633,39.292393359375
1,99,14,-13.918127393877265,32.29312851562501
2,99,14,-13.918127393877265,39.0885380859375
1,99,15,-14.45958574290385,32.21786865234375
2,99,15,-14.45958574290385,38.88468544921875
1,99,16,-15.002773258916562,32.14260615234375
2,99,16,-15.002773258916562,38.68083017578125
1,99,17,-15.547306186753707,32.06734365234375
2,99,17,-15.547306186753707,38.47698017578126
1,99,18,-16.092705453772748,31.992083789062505
2,99,18,-16.092705453772748,38.273122265625
1,99,19,-16.63884651125885,31.9168212890625
2,99,19,-16.63884651125885,38.069272265625
1,99,20,-17.185895251816277,31.84156142578125
2,99,20,-17.185895251816277,37.86541962890625
1,99,21,-17.733964876006045,31.76629892578125
2,99,21,-17.733964876006045,37.661564355468755
1,99,22,-18.2826804033693,31.691039062500007
