layer,row,column,z,cond,rbot
1.0,93,218,52.79605133056637,1222.817193922303,51.29605133056637
1.0,93,217,52.42605133056632,2257.508665702713,50.92605133056632
1.0,92,216,51.90605133056623,1881.2572214189277,50.40605133056623
1.0,92,215,51.496051330566175,1975.320082489874,49.996051330566175
1.0,92,214,51.17605133056613,1034.6914717804102,49.67605133056613
1.0,91,214,50.773018989562814,2257.508665702713,49.273018989562814
1.0,90,214,50.01754576001846,2633.7601099864987,48.51754576001846
1.0,89,215,49.27092731933593,2351.5715267736596,47.77092731933593
1.0,88,215,48.36128042782054,1599.0686382060885,46.86128042782054
1.0,87,215,47.647940368652286,2351.5715267736596,46.147940368652286
1.0,87,214,47.15794036865221,2257.508665702713,45.65794036865221
1.0,87,213,46.70794036865215,1975.320082489874,45.20794036865215
1.0,87,212,46.287940368652094,1975.320082489874,44.787940368652094
1.0,87,211,45.87794036865202,1881.2572214189277,44.37794036865202
1.0,87,210,45.44794036865195,2163.445804631767,43.94794036865195
1.0,86,209,44.205638952636406,2351.5715267736596,42.705638952636406
1.0,86,208,42.030649566650375,1693.131499277035,40.530649566650375
1.0,86,207,41.42924621582024,1505.0057771351421,39.92924621582024
1.0,85,206,40.89924621582016,4891.242577179797,39.39924621582016
1.0,84,205,40.18174621582005,2898.51411981025,38.68174621582005
1.0,83,205,39.80924621581998,3623.1426497628127,38.30924621581998
1.0,82,204,39.25924621581989,4528.928312203516,37.75924621581989
1.0,81,203,38.731579549153146,4828.525270296031,37.231579549153146
1.0,80,202,38.22061577536816,5901.53088591737,36.72061577536816
1.0,80,201,37.29650763735563,6169.782289822705,35.79650763735563
1.0,79,200,37.040190338134764,6169.782289822705,35.540190338134764
1.0,79,199,36.97419033813476,4733.140318667659,35.47419033813476
1.0,79,198,36.91269033813475,3650.4772907840834,35.41269033813475
1.0,79,197,36.80483829607281,2442.096053809653,35.30483829607281
1.0,79,196,35.15808995653235,2674.6766303629533,33.65808995653235
1.0,79,195,34.4505334708474,2558.386342086303,32.9505334708474
1.0,79,194,34.27415488106863,2442.096053809653,32.77415488106863
1.0,78,193,34.19542193603515,1762.4846210621747,32.69542193603515
1.0,78,192,34.10778044927687,1850.6088521152835,32.60778044927687
1.0,77,191,33.41906074305943,1854.9674487467546,31.919060743059433
1.0,76,190,33.24179632059733,2119.96279856772,31.74179632059733
1.0,75,189,33.16248574829102,1245.4790112718129,31.66248574829102
1.0,74,189,33.10698574829102,1969.8537072961806,31.606985748291017
1.0,73,189,33.039485748291014,2054.766983407897,31.539485748291014
1.0,72,189,32.97662211192737,1027.3834917039485,31.47662211192737
1.0,71,188,32.735105405061134,2148.1654826537106,31.235105405061134
1.0,70,188,32.1965403026234,1027.3834917039485,30.696540302623397
1.0,70,187,31.720540233612063,1559.8159821758343,30.220540233612063
1.0,69,187,31.62799362182617,1559.8159821758343,30.12799362182617
1.0,69,186,31.57249362182616,2047.2584766057826,30.07249362182616
